Name,Conference,Division,State,Links
University of Dayton,Atlantic 10 Conference,I-FCS,OH,"www.udayton.edu
www.daytonflyers.com"
University of Delaware,Colonial Athletic Association,I-FCS,DE,"www.udel.edu
www.bluehens.com"
University of Denver,The Summit League,I,CO,"www.du.edu
denverpioneers.com"
University of Detroit Mercy,Horizon League,I,MI,"www.udmercy.edu
www.detroittitans.com"
University of Dubuque,American Rivers Conference,III,IA,"www.dbq.edu
www.dbq.edu/Athletics/"
University of Evansville,Missouri Valley Conference,I,IN,"www.evansville.edu
www.gopurpleaces.com"
University of Findlay,Great Midwest Athletic Conference,II,OH,"www.findlay.edu
athletics.findlay.edu/landing/index"
University of Florida,Southeastern Conference,I-FBS,FL,"www.ufl.edu
www.floridagators.com"
University of Georgia,Southeastern Conference,I-FBS,GA,"www.uga.edu
www.georgiadogs.com"
University of Hartford,America East Conference,I,CT,"www.hartford.edu
www.hartfordhawks.com"
University of Hawaii at Hilo,Pacific West Conference,II,HI,"www.uhh.hawaii.edu
hiloathletics.com"
"University of Hawaii, Manoa",Big West Conference,I-FBS,HI,"manoa.hawaii.edu
hawaiiathletics.com"
University of Houston,American Athletic Conference,I-FBS,TX,"www.uh.edu
www.uhcougars.com"
University of Idaho,Big Sky Conference,I-FCS,ID,"www.uidaho.edu/
www.govandals.com"
University of Illinois at Springfield,Great Lakes Valley Conference,II,IL,"www.uis.edu
www.uisprairiestars.com"
University of Illinois Chicago,Horizon League,I,IL,"www.uic.edu
www.uicflames.com"
University of Illinois Urbana-Champaign,Big Ten Conference,I-FBS,IL,"illinois.edu
www.fightingillini.com"
University of Indianapolis,Great Lakes Valley Conference,II,IN,"www.uindy.edu
uindyathletics.com"
University of Iowa,Big Ten Conference,I-FBS,IA,"www.uiowa.edu
www.hawkeyesports.com"
University of Kansas,Big 12 Conference,I-FBS,KS,"ku.edu
kuathletics.com"
University of Kentucky,Southeastern Conference,I-FBS,KY,"www.uky.edu
www.ukathletics.com"
University of La Verne,Southern California Intercollegiate Athletic Conf.,III,CA,"www.laverne.edu
www.leopardathletics.com"
University of Louisiana at Lafayette,Sun Belt Conference,I-FBS,LA,"www.louisiana.edu
www.ragincajuns.com"
University of Louisiana Monroe,Sun Belt Conference,I-FBS,LA,"www.ulm.edu
www.ulmwarhawks.com"
University of Louisville,Atlantic Coast Conference,I-FBS,KY,"www.louisville.edu/
www.gocards.com"
University of Lynchburg,Old Dominion Athletic Conf.,III,VA,"www.lynchburg.edu/
www.lynchburgsports.com/landing/index"
University of Maine,America East Conference,I-FCS,ME,"https://umaine.edu
https://goblackbears.com"
University of Maine at Presque Isle,North Atlantic Conference,III,ME,"www.umpi.edu
owls.umpi.edu/landing/index"
"University of Maine, Farmington",North Atlantic Conference,III,ME,"umf.maine.edu/
www.goUMFbeavers.com"
University of Mary,Northern Sun Intercollegiate Conference,II,ND,"www.umary.edu/
www.goumary.com"
University of Mary Hardin-Baylor,American Southwest Conference,III,TX,"www.umhb.edu
www.umhb.edu/athletics"
University of Mary Washington,Coast-To-Coast Athletic Conference,III,VA,"www.umw.edu/
www.umweagles.com"
University of Maryland Eastern Shore,Mid-Eastern Athletic Conf.,I,MD,"https://www.umes.edu/home/
https://easternshorehawks.com/"
"University of Maryland, Baltimore County",America East Conference,I,MD,"www.umbc.edu/
UMBCRetrievers.com"
"University of Maryland, College Park",Big Ten Conference,I-FBS,MD,"www.umd.edu
www.umterps.com"
University of Massachusetts Boston,Little East Conference,III,MA,"www.umb.edu/
www.beaconsathletics.com"
University of Massachusetts Lowell,America East Conference,I,MA,"www.uml.edu/
www.goriverhawks.com"
"University of Massachusetts, Amherst",Atlantic 10 Conference,I-FBS,MA,"www.umass.edu
www.umassathletics.com"
"University of Massachusetts, Dartmouth",Little East Conference,III,MA,"www.umassd.edu
www.corsairathletics.com"
University of Memphis,American Athletic Conference,I-FBS,TN,"www.memphis.edu
www.gotigersgo.com"
University of Miami (Florida),Atlantic Coast Conference,I-FBS,FL,"www.miami.edu
hurricanesports.com"
University of Michigan,Big Ten Conference,I-FBS,MI,"www.umich.edu
www.mgoblue.com"
University of Minnesota Duluth,Northern Sun Intercollegiate Conference,II,MN,"www.d.umn.edu/
https://umdbulldogs.com/"
"University of Minnesota, Crookston",Northern Sun Intercollegiate Conference,II,MN,"www.umcrookston.edu
www.goldeneaglesports.com/"
"University of Minnesota, Morris",Upper Midwest Athletic Conference,III,MN,"www.morris.umn.edu/
www.morriscougars.com"
"University of Minnesota, Twin Cities",Big Ten Conference,I-FBS,MN,"www.umn.edu
www.gophersports.com"
University of Mississippi,Southeastern Conference,I-FBS,MS,"www.olemiss.edu
www.olemisssports.com"
University of Missouri-Kansas City,The Summit League,I,MO,"www.umkc.edu
www.kcroos.com"
University of Missouri-St. Louis,Great Lakes Valley Conference,II,MO,"umsl.edu
umsltritons.com"
"University of Missouri, Columbia",Southeastern Conference,I-FBS,MO,"www.missouri.edu
www.mutigers.com"
University of Montana,Big Sky Conference,I-FCS,MT,"www.umt.edu
www.gogriz.com"
University of Montevallo,Gulf South Conference,II,AL,"www.montevallo.edu
www.montevallofalcons.com"
University of Mount Olive,Conference Carolinas,II,NC,"www.umo.edu
www.umotrojans.com"
University of Mount Union,Ohio Athletic Conference,III,OH,"www.mountunion.edu
athletics.mountunion.edu"
University of Nebraska at Kearney,Mid-America Intercollegiate Athletics Association,II,NE,"www.unk.edu
www.lopers.com"
University of Nebraska Omaha,The Summit League,I,NE,"www.unomaha.edu/
www.omavs.com"
"University of Nebraska, Lincoln",Big Ten Conference,I-FBS,NE,"www.unl.edu
www.huskers.com"
"University of Nevada, Las Vegas",Mountain West Conference,I-FBS,NV,"https://www.unlv.edu/
unlvrebels.com"
"University of Nevada, Reno",Mountain West Conference,I-FBS,NV,"www.unr.edu
https://nevadawolfpack.com/"
University of New England,Commonwealth Coast Conference,III,ME,"www.une.edu
athletics.une.edu"
University of New Hampshire,America East Conference,I-FCS,NH,"www.unh.edu
www.unhwildcats.com"
University of New Haven,Northeast-10 Conference,II,CT,"www.newhaven.edu
www.newhavenchargers.com"
University of New Mexico,Mountain West Conference,I-FBS,NM,"www.unm.edu/
www.golobos.com"
University of New Orleans,Southland Conference,I,LA,"www.uno.edu
www.unoprivateers.com"
University of North Alabama,ASUN Conference,II,AL,"www.una.edu
www.roarlions.com"
University of North Carolina Asheville,Big South Conference,I,NC,"www.unca.edu
www.uncabulldogs.com"
University of North Carolina at Pembroke,Conference Carolinas,II,NC,"www.uncp.edu
www.uncpbraves.com"
University of North Carolina Wilmington,Colonial Athletic Association,I,NC,"www.uncw.edu
www.uncwsports.com"
"University of North Carolina, Chapel Hill",Atlantic Coast Conference,I-FBS,NC,"www.unc.edu
www.goheels.com"
University of North Dakota,The Summit League,I-FCS,ND,"www.und.edu/
www.fightinghawks.com"
University of North Florida,ASUN Conference,I,FL,"www.unf.edu
www.unfospreys.com"
University of North Georgia,Peach Belt Conference,II,GA,"www.ung.edu/
www.ungathletics.com"
University of North Texas,Conference USA,I-FBS,TX,"www.unt.edu
www.meangreensports.com"
University of Northern Colorado,Big Sky Conference,I-FCS,CO,"https://www.unco.edu/
uncbears.com"
University of Northern Iowa,Missouri Valley Conference,I-FCS,IA,"uni.edu
unipanthers.com"
University of Northwestern-St. Paul,Upper Midwest Athletic Conference,III,MN,"www.unwsp.edu
unweagles.com"
University of Notre Dame,Atlantic Coast Conference,I-FBS,IN,"www.nd.edu
www.und.com"
University of Oklahoma,Big 12 Conference,I-FBS,OK,"www.ou.edu
soonersports.com"
University of Oregon,Pac-12 Conference,I-FBS,OR,"www.uoregon.edu
www.goducks.com"
University of Pennsylvania,The Ivy League,I-FCS,PA,"www.upenn.edu/
www.pennathletics.com"
University of Pittsburgh,Atlantic Coast Conference,I-FBS,PA,"www.pitt.edu
www.pittsburghpanthers.com"
"University of Pittsburgh, Bradford",Allegheny Mountain Collegiate Conference,III,PA,"www.upb.pitt.edu/
athletics.pittbradford.org/landing/index"
"University of Pittsburgh, Greensburg",Allegheny Mountain Collegiate Conference,III,PA,"www.greensburg.pitt.edu/
pittgreensburgathletics.com/"
"University of Pittsburgh, Johnstown",Pennsylvania State Athletic Conference,II,PA,"www.upj.pitt.edu
pittjohnstownathletics.com/"
University of Portland,West Coast Conference,I,OR,"www.up.edu
www.portlandpilots.com"
"University of Puerto Rico, Bayamon",,II,PR,"www.uprb.edu
www.uprb.edu"
"University of Puerto Rico, Mayaguez",,II,PR,"www.uprm.edu
www.uprm.edu/actividadesatleticas"
"University of Puerto Rico, Rio Piedras",,II,PR,"www.uprrp.edu
estudiantes.uprrp.edu"
University of Puget Sound,Northwest Conference,III,WA,"www.pugetsound.edu
www.loggerathletics.com"
University of Redlands,Southern California Intercollegiate Athletic Conf.,III,CA,"www.redlands.edu
www.goredlands.com"
University of Rhode Island,Atlantic 10 Conference,I-FCS,RI,"www.uri.edu
www.gorhody.com"
University of Richmond,Atlantic 10 Conference,I-FCS,VA,"www.richmond.edu
www.richmondspiders.edu"
University of Rochester,University Athletic Association,III,NY,"www.rochester.edu/
www.rochester.edu/athletics"
University of Saint Joseph (Connecticut),Great Northeast Athletic Conference,III,CT,"www.usj.edu
www.usjbluejays.com"
University of San Diego,West Coast Conference,I-FCS,CA,"www.sandiego.edu
www.usdtoreros.com"
University of San Francisco,West Coast Conference,I,CA,"https://www.usfca.edu/
https://usfdons.com/index.aspx"
University of Scranton,Landmark Conference,III,PA,"www.scranton.edu
athletics.scranton.edu"
University of Sioux Falls,Northern Sun Intercollegiate Conference,II,SD,"www.usiouxfalls.edu
www.usfcougars.com"
University of South Alabama,Sun Belt Conference,I-FBS,AL,"www.southalabama.edu
www.usajaguars.com"
University of South Carolina Aiken,Peach Belt Conference,II,SC,"www.usca.edu
www.pacersports.com"
University of South Carolina Upstate,Big South Conference,I,SC,"www.uscupstate.edu
www.upstatespartans.com"
"University of South Carolina, Columbia",Southeastern Conference,I-FBS,SC,"www.sc.edu
gamecocksonline.com"
University of South Dakota,The Summit League,I-FCS,SD,"www.usd.edu
www.goyotes.com"
University of South Florida,American Athletic Conference,I-FBS,FL,"www.usf.edu/
www.gousfbulls.com/"
University of Southern California,Pac-12 Conference,I-FBS,CA,"usc.edu
usctrojans.com"
University of Southern Indiana,Great Lakes Valley Conference,II,IN,"www.usi.edu/
www.gousieagles.com/"
University of Southern Maine,Little East Conference,III,ME,"www.usm.maine.edu
www.southernmainehuskies.com"
University of St. Thomas (Minnesota),The Summit League,III,MN,"www.stthomas.edu
www.Tommiesports.com"
University of Tampa,Sunshine State Conference,II,FL,"www.ut.edu
https://www.tampaspartans.com/landing/index"
University of Tennessee at Chattanooga,Southern Conference,I-FCS,TN,"www.utc.edu
www.gomocs.com"
University of Tennessee at Martin,Ohio Valley Conference,I-FCS,TN,"www.utm.edu/
www.utmsports.com"
"University of Tennessee, Knoxville",Southeastern Conference,I-FBS,TN,"www.utk.edu
www.utsports.com"
University of Texas at Arlington,Sun Belt Conference,I,TX,"www.uta.edu
www.utamavs.com"
University of Texas at Austin,Big 12 Conference,I-FBS,TX,"www.utexas.edu
www.TexasSports.com"
University of Texas at Dallas,American Southwest Conference,III,TX,"www.utdallas.edu/
utdcomets.com"
University of Texas at El Paso,Conference USA,I-FBS,TX,"www.utep.edu
www.utepminers.com"
University of Texas at San Antonio,Conference USA,I-FBS,TX,"www.utsa.edu
www.goutsa.com"
University of Texas Permian Basin,Lone Star Conference,II,TX,"www.utpb.edu/
www.utpbfalcons.com"
University of the District of Columbia,East Coast Conference,II,DC,"www.udc.edu
www.udcfirebirds.com"
University of the Incarnate Word,Southland Conference,I-FCS,TX,"www.uiw.edu
uiwcardinals.com"
University of the Ozarks (Arkansas),American Southwest Conference,III,AR,"www.ozarks.edu/
www.uofoathletics.com/landing/index"
University of the Pacific,West Coast Conference,I,CA,"www.pacific.edu
www.pacifictigers.com"
University of the Sciences,Central Atlantic Collegiate Conference,II,PA,"www.usciences.edu
www.devilsathletics.com"
University of the South,Southern Athletic Association,III,TN,"www.sewanee.edu/
sewaneetigers.com/"
University of Toledo,Mid-American Conference,I-FBS,OH,"www.utoledo.edu
www.utrockets.com"
University of Utah,Pac-12 Conference,I-FBS,UT,"www.utah.edu/
utahutes.com/"
University of Valley Forge,Colonial States Athletic Conference,III,PA,"valleyforge.edu
uvfpatriots.com"
University of Vermont,America East Conference,I,VT,"www.uvm.edu
www.uvmathletics.com"
University of Virginia,Atlantic Coast Conference,I-FBS,VA,"www.virginia.edu
www.virginiasports.com"
University of Washington,Pac-12 Conference,I-FBS,WA,"www.washington.edu/
www.gohuskies.com"
University of West Alabama,Gulf South Conference,II,AL,"www.uwa.edu/
www.uwaathletics.com"
University of West Florida,Gulf South Conference,II,FL,"www.uwf.edu
www.goargos.com"
University of West Georgia,Gulf South Conference,II,GA,"www.westga.edu
www.uwgsports.com"
University of Wisconsin-Eau Claire,Wisconsin Intercollegiate Athletic Conference,III,WI,"www.uwec.edu/
www.blugolds.com"
University of Wisconsin-Green Bay,Horizon League,I,WI,"www.uwgb.edu
greenbayphoenix.com"
University of Wisconsin-La Crosse,Wisconsin Intercollegiate Athletic Conference,III,WI,"www.uwlax.edu
www.uwlathletics.com"
University of Wisconsin-Madison,Big Ten Conference,I-FBS,WI,"www.wisc.edu/
www.uwbadgers.com"
University of Wisconsin-Milwaukee,Horizon League,I,WI,"www.uwm.edu
www.mkepanthers.com"
University of Wisconsin-Oshkosh,Wisconsin Intercollegiate Athletic Conference,III,WI,"www.uwosh.edu/
www.uwoshkoshtitans.com"
University of Wisconsin-Parkside,Great Lakes Intercollegiate Athletic Conference,II,WI,"www.uwp.edu
www.parksiderangers.com"
University of Wisconsin-Platteville,Wisconsin Intercollegiate Athletic Conference,III,WI,"www.uwplatt.edu
www.letsgopioneers.com"
University of Wisconsin-River Falls,Wisconsin Intercollegiate Athletic Conference,III,WI,"www.uwrf.edu/
www.uwrfsports.com"
University of Wisconsin-Stevens Point,Wisconsin Intercollegiate Athletic Conference,III,WI,"www.uwsp.edu/
athletics.uwsp.edu"
University of Wisconsin-Stout,Wisconsin Intercollegiate Athletic Conference,III,WI,"www.uwstout.edu/
athletics.uwstout.edu"
University of Wisconsin-Superior,Upper Midwest Athletic Conference,III,WI,"www.uwsuper.edu/
www.uwsyellowjackets.com"
University of Wisconsin-Whitewater,Wisconsin Intercollegiate Athletic Conference,III,WI,"www.uww.edu/
www.uwwsports.com"
University of Wyoming,Mountain West Conference,I-FBS,WY,"www.uwyo.edu
www.gowyo.com"
Upper Iowa University,Northern Sun Intercollegiate Conference,II,IA,"www.uiu.edu/
uiupeacocks.com/"
Ursinus College,Centennial Conference,III,PA,"www.ursinus.edu/
www.ursinusathletics.com"
Ursuline College,Great Midwest Athletic Conference,II,OH,"www.ursuline.edu
www.ursulinearrows.com"
Utah State University,Mountain West Conference,I-FBS,UT,"www.usu.edu
www.utahstateaggies.com"
Utah Valley University,Western Athletic Conference,I,UT,"www.uvu.edu
www.gouvu.com"
Utica College,Empire 8,III,NY,"www.utica.edu/
www.ucpioneers.com"
Valdosta State University,Gulf South Conference,II,GA,"www.valdosta.edu
www.vstateblazers.com"
Valparaiso University,Missouri Valley Conference,I-FCS,IN,"www.valpo.edu/
www.valpoathletics.com"
Vanderbilt University,Southeastern Conference,I-FBS,TN,"vanderbilt.edu
vucommodores.com"
Vassar College,Liberty League,III,NY,"www.vassar.edu
www.vassarathletics.com/"
Villanova University,Big East Conference,I-FCS,PA,"www.villanova.edu
www.villanova.com"
Virginia Commonwealth University,Atlantic 10 Conference,I,VA,"www.vcu.edu
www.vcuathletics.com/"
Virginia Military Institute,Southern Conference,I-FCS,VA,"www.vmi.edu
www.vmikeydets.com"
Virginia Polytechnic Institute and State University,Atlantic Coast Conference,I-FBS,VA,"www.vt.edu
www.hokiesports.com"
Virginia State University,Central Intercollegiate Athletic Association,II,VA,"www.vsu.edu/
www.govsutrojans.com"
Virginia Union University,Central Intercollegiate Athletic Association,II,VA,"www.vuu.edu/
vuusports.com/"
Virginia Wesleyan University,Old Dominion Athletic Conf.,III,VA,"vwu.edu
vwuathletics.com"
Wabash College,North Coast Athletic Conference,III,IN,"www.wabash.edu
sports.wabash.edu"
Wagner College,Northeast Conference,I-FCS,NY,"www.wagner.edu
www.wagnerathletics.com"
Wake Forest University,Atlantic Coast Conference,I-FBS,NC,"www.wfu.edu
www.godeacs.com"
Walsh University,Great Midwest Athletic Conference,II,OH,"https://www.walsh.edu/
athletics.walsh.edu/landing/index"
Wartburg College,American Rivers Conference,III,IA,"www.wartburg.edu
www.go-knights.net"
Washburn University,Mid-America Intercollegiate Athletics Association,II,KS,"www.washburn.edu
www.wusports.com"
Washington and Jefferson College,Presidents' Athletic Conference,III,PA,"www.washjeff.edu
www.gopresidents.com"
Washington and Lee University,Old Dominion Athletic Conf.,III,VA,"www.wlu.edu
generalssports.com"
Washington College (Maryland),Centennial Conference,III,MD,"www.washcoll.edu/
www.WashingtonCollegeSports.com"
Washington State University,Pac-12 Conference,I-FBS,WA,"www.wsu.edu
www.wsucougars.com"
Washington University in St. Louis,University Athletic Association,III,MO,"www.wustl.edu/
washubears.com"
Wayne State College (Nebraska),Northern Sun Intercollegiate Conference,II,NE,"www.wsc.edu/
www.wscwildcats.com/"
Wayne State University (Michigan),Great Lakes Intercollegiate Athletic Conference,II,MI,"www.wayne.edu
www.wsuathletics.com"
Waynesburg University,Presidents' Athletic Conference,III,PA,"www.waynesburg.edu/
www.waynesburgsports.com"
Weber State University,Big Sky Conference,I-FCS,UT,"www.weber.edu
www.weberstatesports.com/"
Webster University,St. Louis Intercollegiate Athletic Conference,III,MO,"www.webster.edu/
www.websterathletics.com"
Wellesley College,New England Women's and Men's Athletic Conference,III,MA,"www.wellesley.edu
www.wellesleyblue.com"
Wells College,United East Conference,III,NY,"www.wells.edu
www.wells-express.com"
Wentworth Institute of Technology,Commonwealth Coast Conference,III,MA,"www.wit.edu
www.wentworthathletics.com"
Wesleyan College (Georgia),USA South Athletic Conference,III,GA,"www.wesleyancollege.edu/
www.wesleyanathletics.com"
Wesleyan University (Connecticut),New England Small College Athletic Conference,III,CT,"www.wesleyan.edu/
www.wesleyan.edu/athletics"
West Chester University of Pennsylvania,Pennsylvania State Athletic Conference,II,PA,"www.wcupa.edu/
www.wcupagoldenrams.com"
West Liberty University,Mountain East Conference,II,WV,"www.westliberty.edu
www.hilltoppersports.com"
West Texas A&M University,Lone Star Conference,II,TX,"www.wtamu.edu
www.gobuffsgo.com"
West Virginia State University,Mountain East Conference,II,WV,"www.wvstateu.edu
www.wvsuyellowjackets.com"
West Virginia University,Big 12 Conference,I-FBS,WV,"www.wvu.edu
www.wvusports.com"
West Virginia Wesleyan College,Mountain East Conference,II,WV,"wvwc.edu
wesleyanbobcats.com"
Western Carolina University,Southern Conference,I-FCS,NC,"www.wcu.edu/
www.catamountsports.com"
Western Colorado University,Rocky Mountain Athletic Conference,II,CO,"www.western.edu
www.gomountaineers.com"
Western Connecticut State University,Little East Conference,III,CT,"www.wcsu.edu/
www.westconnathletics.com"
Western Illinois University,The Summit League,I-FCS,IL,"www.wiu.edu
www.goleathernecks.com"
Western Kentucky University,Conference USA,I-FBS,KY,"www.wku.edu
www.wkusports.com"
Western Michigan University,Mid-American Conference,I-FBS,MI,"www.wmich.edu
www.wmubroncos.com"
Western New England University,Commonwealth Coast Conference,III,MA,"www.wne.edu/
www.wnegoldenbears.com"
Western New Mexico University,Lone Star Conference,II,NM,"www.wnmu.edu
www.wnmumustangs.com"
Western Oregon University,Great Northwest Athletic Conference,II,OR,"www.wou.edu
www.wouwolves.com"
Western Washington University,Great Northwest Athletic Conference,II,WA,"www.wwu.edu/
www.wwuvikings.com"
Westfield State University,Massachusetts State Collegiate Athletic Conference,III,MA,"www.westfield.ma.edu
www.WestfieldStateOwls.com"
Westminster College (Missouri),St. Louis Intercollegiate Athletic Conference,III,MO,"www.wcmo.edu/
www.wcbluejays.com/landing/index"
Westminster College (Pennsylvania),Presidents' Athletic Conference,III,PA,"www.westminster.edu/
www.westminster.edu/athletics/"
Westminster College (Utah),Rocky Mountain Athletic Conference,II,UT,"www.westminstercollege.edu
www.westminstergriffins.com"
Wheaton College (Illinois),College Conference of Illinois & Wisconsin,III,IL,"www.wheaton.edu
athletics.wheaton.edu"
Wheaton College (Massachusetts),New England Women's and Men's Athletic Conference,III,MA,"www.wheatoncollege.edu/
athletics.wheatoncollegelyons.com"
Wheeling University,Mountain East Conference,II,WV,"https://wheeling.edu/
wucardinals.com/"
Whitman College,Northwest Conference,III,WA,"www.whitman.edu
https://www.whitman.edu/athletics"
Whittier College,Southern California Intercollegiate Athletic Conf.,III,CA,"www.whittier.edu
www.wcpoets.com"
Whitworth University,Northwest Conference,III,WA,"www.whitworth.edu/
www.whitworthpirates.com"
Wichita State University,American Athletic Conference,I,KS,"www.wichita.edu
www.goshockers.com"
Widener University,Middle Atlantic Conferences,III,PA,"www.widener.edu/
www.widenerpride.com"
Wilkes University,Middle Atlantic Conferences,III,PA,"www.wilkes.edu
www.gowilkesu.com"
Willamette University,Northwest Conference,III,OR,"www.willamette.edu/
willamette.prestosports.com/landing/index"
William & Mary,Colonial Athletic Association,I-FCS,VA,"www.wm.edu
www.tribeathletics.com"
William Jewell College,Great Lakes Valley Conference,II,MO,"www.jewell.edu
www.jewellcardinals.com"
William Paterson University of New Jersey,New Jersey Athletic Conference,III,NJ,"www.wpunj.edu
www.wpupioneers.com"
William Peace University,USA South Athletic Conference,III,NC,"www.peace.edu/
www.gopeacepacers.com"
Williams College,New England Small College Athletic Conference,III,MA,"www.williams.edu/
athletics.williams.edu/landing/index"
Wilmington College (Ohio),Ohio Athletic Conference,III,OH,"www.wilmington.edu/
www.wilmington.edu/athletics"
Wilmington University (Delaware),Central Atlantic Collegiate Conference,II,DE,"www.wilmu.edu/index.aspx
athletics.wilmu.edu/landing/index"
Wilson College,Colonial States Athletic Conference,III,PA,"www.wilson.edu
www.wilsonphoenix.com"
Wingate University,South Atlantic Conference,II,NC,"wingate.edu
wingatebulldogs.com"
Winona State University,Northern Sun Intercollegiate Conference,II,MN,"www.winona.edu/
www.winonastatewarriors.com"
Winston-Salem State University,Central Intercollegiate Athletic Association,II,NC,"www.wssu.edu
wssurams.com"
Winthrop University,Big South Conference,I,SC,"www.winthrop.edu/
www.winthropeagles.com"
Wisconsin Lutheran College,Northern Athletics Collegiate Conference,III,WI,"www.wlc.edu
www.wlcsports.com/landing/index"
Wittenberg University,North Coast Athletic Conference,III,OH,"www.wittenberg.edu
www.wittenbergtigers.com"
Wofford College,Southern Conference,I-FCS,SC,"www.wofford.edu/
www.wofford.edu/athletics"
Worcester Polytechnic Institute,New England Women's and Men's Athletic Conference,III,MA,"www.wpi.edu/
athletics.wpi.edu"
Worcester State University,Massachusetts State Collegiate Athletic Conference,III,MA,"www.worcester.edu/
www.wsulancers.com"
Wright State University,Horizon League,I,OH,"www.wright.edu
www.wsuraiders.com"
Xavier University,Big East Conference,I,OH,"www.xavier.edu
www.goxavier.com"
Yale University,The Ivy League,I-FCS,CT,"www.yale.edu
www.yalebulldogs.com"
Yeshiva University,Skyline Conference,III,NY,"www.yu.edu/
www.yumacs.com"
York College (New York),City University of New York Athletic Conference,III,NY,"www.york.cuny.edu
www.yorkathletics.com"
York College (Pennsylvania),Middle Atlantic Conferences,III,PA,"www.ycp.edu
www.ycpspartans.com"
Young Harris College,Peach Belt Conference,II,GA,"www.yhc.edu
www.yhcathletics.com"
Youngstown State University,Horizon League,I-FCS,OH,"www.ysu.edu
www.ysusports.com"
